country,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977
安哥拉,-1,-1,174,67,95,1107,1408,848,371,693,408,640,198,451,465,1100,1650,473,652,80,129,198,288,605,510,621,236,191,138,135,122,113,11,138,7,23,50,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
索马里,-1,-1,-1,-1,3,121,122,13,14,114,91,245,162,50,3,78,0,0,13,1,3,0,0,0,0,0,0,0,248,1555,641,84,91,94,47,36,221,0,0,0,0,2,0,0,0,0,0,5,7,11,14,39,3229
摩洛哥,471,851,1292,254,280,219,727,1575,112,55,42,40,23,26,16,815,1961,2081,1173,796,2700,2055,93,29,14,18,7,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
叙利亚,46,1,98,488,375,158,6,109,435,1011,48,1,1,1,1,1657,715,91,16,8,1,902,646,14,2,2,3,7,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
突尼斯,1270,188,101,101,138,59,18,2,5,3,7,3,13,2,1,4,19,190,797,1224,534,1,2,5,7,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
埃及,762,2676,240,20,26,14,10,609,5691,1344,165,3,1,1,2,4138,11194,1355,416,170,16,3,9,2,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
利比里亚,-1,-1,-1,-1,-1,-1,-1,-1,-1,274,104,87,14,5,230,1717,1869,136,1116,325,88,258,40,32,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
洪都拉斯,-1,-1,-1,-1,-1,-1,-1,124,38,15,8,3,3,6,2,9,8,1,82,105,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
巴西,746,4146,107,2,2,1,95,112,17,23,121,93,86,123,126,79,444,1234,830,1234,862,1288,670,749,1190,1668,923,1035,2580,4718,2661,2190,4353,4325,7044,1771,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
哥伦比亚,-1,-1,-1,-1,-1,-1,-1,-1,419,742,298,640,557,453,2787,1992,1334,1443,2659,1445,442,396,4903,7356,3040,4818,3844,3235,5526,7203,3404,2572,2145,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
玻利维亚,-1,-1,-1,-1,-1,-1,716,10,293,618,490,220,289,235,348,342,211,205,300,1159,1793,1033,500,831,805,644,759,590,429,624,372,499,1310,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
厄瓜多尔,1,1,16,196,31,374,505,203,234,237,89,58,401,18,23,3,10,12,28,32,144,2846,3616,660,251,174,665,708,2516,1831,669,913,863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
阿根廷,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,545,80,53,19,120,6,41,71,46,140,500,4788,1404,982,309,256,55,86,335,27,23,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
委瑞内拉,-1,-1,-1,-1,-1,28,13,2,6,2,3,70,105,256,3839,955,265,259,268,610,1055,2114,4767,5685,3672,3062,567,453,72,113,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
墨西哥,11008,5477,6639,8794,11304,17405,15003,8456,6094,9430,5205,4651,3538,3343,2205,1341,2529,4115,4011,3516,1718,600,1123,1541,1030,769,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
乌拉圭,15,4,4,8,11,1,8,2,53,72,29,4,2,1,104,167,326,9,3,16,7,1,45,42,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
危地马拉,-1,-1,96,10,29,23,9,38,40,52,21,60,11,8,6,1,6,9,5,9,11,12,10,10,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
